REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Age,Sex,Statistical operation,TIME_PERIOD,OBS_VALUE
LUX,Luxembourg,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2019,311.1
LUX,Luxembourg,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,269.1
EST,Estonia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,422.1
SVK,Slovak Republic,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,818.7
ISR,Israel,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,316.3
DNK,Denmark,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,258.8
COL,Colombia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,80.2
CHE,Switzerland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,232.9
MLT,Malta,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,465.4
AUS,Australia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,272.5
ITA,Italy,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2010,343.5
LTU,Lithuania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,977
CHL,Chile,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,139.8
ESP,Spain,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,202.6
FRA,France,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2013,318.3
TUR,Türkiye,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2015,204.2
NZL,New Zealand,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2014,252.1
SWE,Sweden,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,67.9
CZE,Czechia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,502.2
IRL,Ireland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,237.9
SVN,Slovenia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,286.2
NLD,Netherlands,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,182.5
MEX,Mexico,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,131.2
PRT,Portugal,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,168.6
NOR,Norway,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,226.8
KOR,Korea,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,193.6
AUT,Austria,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2011,591.6
POL,Poland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,765.2
USA,United States,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2018,499.1
CRI,Costa Rica,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,130.5
BEL,Belgium,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,223.9
HRV,Croatia,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,146.2
HUN,Hungary,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2004,754.4
ROU,Romania,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,451.7
CAN,Canada,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2017,197.5
FIN,Finland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,456.5
DEU,Germany,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2007,642.2
GBR,United Kingdom,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2012,122.7
ISL,Iceland,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2009,230
SGP,Singapore,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2016,273.2
LUX,Luxembourg,Annual,Congestive heart failure and hypertension hospital admission,Per 100 000 inhabitants,15 years or over,Total,Observed,2020,136.8
