STRUCTURE_NAME,ACTION,REF_AREA,Reference area,Unit of measure,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2014,20.1
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2013,26.9
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2012,23.1
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2011,19.8
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2010,24.3
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2009,26.1
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2008,24.9
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2007,21.7
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2006,23.2
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2005,26.8
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2020,23.1
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2019,23.4
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2018,18.3
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2017,22.8
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Total,Diseases of the digestive system,2016,19.4
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2019,16.4
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2018,16
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2017,18.9
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2016,19
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2015,18.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2014,16.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2013,15.4
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2012,16.2
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2011,13.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2010,10.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2009,11.9
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2008,9.9
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2007,7.6
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2006,5.1
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2005,4.5
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2004,3.7
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2003,3.6
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2002,3.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2001,3.5
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2000,3
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Total,Certain infectious and parasitic diseases,2020,17.3
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,210.3
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,210.5
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,224
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,226.3
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,223.4
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,225
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,211.1
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,216.2
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,220.8
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,216.9
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,215.7
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,220.8
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,215.7
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,220.5
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,222.3
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,224.3
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,194.5
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,192.7
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,196.7
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,204.4
Causes of mortality,I,NLD,Netherlands,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,212.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2008,36.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2007,36.4
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2017,30.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2016,29
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2015,27.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2014,29.8
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2006,37.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2005,38.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2004,38.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2003,38.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2002,38
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2001,38.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2000,37.6
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2020,31.5
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2019,30.3
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2018,30
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2011,33.2
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2010,33.6
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Certain infectious and parasitic diseases,2014,9.4
Causes of mortality,I,ISL,Iceland,Deaths per 100 000 inhabitants,Male,Certain infectious and parasitic diseases,2013,8.1
Causes of mortality,I,POL,Poland,Deaths per 100 000 inhabitants,Female,Diseases of the digestive system,2009,35.5
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2016,1261
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2015,1318.6
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2014,1291
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2013,1353.6
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2012,1366.7
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2011,1384.2
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2010,1416.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2009,1451.1
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2008,1449.3
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2007,1484.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2006,1543.6
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2005,1623.5
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2004,1665.9
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2003,1757.4
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2002,1720.7
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2001,1696.8
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2000,1722.3
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2020,1422.4
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2019,1234.7
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2018,1256.2
Causes of mortality,I,CZE,Czechia,Deaths per 100 000 inhabitants,Male,Total,2017,1270.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2002,904.3
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2001,913
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2000,925.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2019,716
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2018,737.8
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2020,755.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2017,734.2
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2016,729.7
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2015,742.7
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2014,744.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2013,744.7
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2012,747.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2011,755.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2010,770.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2009,787.4
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2008,811.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2007,823.3
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2006,822.1
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2005,854.6
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2004,867.3
Causes of mortality,I,CAN,Canada,Deaths per 100 000 inhabitants,Total,Total,2003,889.6
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2017,118.3
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2016,113.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2005,126.9
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2004,132.1
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2003,146.9
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2002,144.1
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2015,116.6
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2014,112.5
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2013,126
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2012,118.8
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2011,123
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2010,126.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2009,135.7
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2008,130.7
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2007,125.9
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2006,120.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2020,100.2
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2019,111.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2018,124.3
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2001,134.4
Causes of mortality,I,DNK,Denmark,Deaths per 100 000 inhabitants,Male,Diseases of the respiratory system,2000,130.2
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2001,43.7
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2000,42.3
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2020,92.9
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2019,70.3
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2018,51.2
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2017,55.9
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2016,52.2
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2015,47.8
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2014,35.5
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2013,38.1
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2012,36.7
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2011,37.8
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2010,43.3
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2009,42.5
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2008,41.2
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2007,38
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2006,41.9
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2005,47.1
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2004,57
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2003,59.9
Causes of mortality,I,CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,"Endocrine, nutritional and metabolic diseases",2002,38.2
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2001,12.5
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2000,13.5
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2020,26.3
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2019,23.4
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2018,24.6
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2017,25.6
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2016,22.5
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2015,21
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2014,18.2
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2013,13.7
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2012,14.7
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2011,11.6
Causes of mortality,I,FIN,Finland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2002,53.4
Causes of mortality,I,FIN,Finland,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2001,52.1
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2008,11.7
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2007,12.2
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2006,10.9
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2005,10.6
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2004,11.4
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2003,11.2
Causes of mortality,I,GRC,Greece,Deaths per 100 000 inhabitants,Total,Diseases of the nervous system,2002,11.6
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2002,374.8
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2001,386.7
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2007,290.9
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2000,423.3
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2020,178.6
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2019,183.7
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2018,190.5
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2017,195.7
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2016,209.5
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2015,222.4
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2014,216.5
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2013,235.9
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2012,242.1
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2011,243.7
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2010,248.1
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2009,268.9
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2008,282.7
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2006,296
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2005,298.8
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2004,327.6
Causes of mortality,I,IRL,Ireland,Deaths per 100 000 inhabitants,Female,Diseases of the circulatory system,2003,350.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2017,805.8
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2016,812.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2015,834.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2012,892.8
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2011,888.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2010,957.2
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2009,927.2
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2008,908.7
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2007,986.4
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2006,973.2
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2005,1020.6
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2004,1060.5
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2003,1064.1
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2002,1062.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2001,1112.4
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2000,1116.7
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2020,859.9
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2019,772.8
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2014,854.3
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2013,866
Causes of mortality,I,CHL,Chile,Deaths per 100 000 inhabitants,Total,Total,2018,779.6
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2015,47.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2014,46.7
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2003,61.8
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2002,61.7
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2001,61.3
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2000,63.1
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2013,49.2
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2012,48.2
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2011,49.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2010,52.5
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2009,53.2
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2008,55.5
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2007,55.8
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2006,57.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2005,59.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2004,60.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2020,47.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2019,46.6
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2018,47.4
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2017,47.8
Causes of mortality,I,DEU,Germany,Deaths per 100 000 inhabitants,Male,Diseases of the digestive system,2016,48
Causes of mortality,I,KOR,Korea,Deaths per 100 000 inhabitants,Male,"Endocrine, nutritional and metabolic diseases",2015,37.5
Causes of mortality,I,KOR,Korea,Deaths per 100 000 inhabitants,Male,"Endocrine, nutritional and metabolic diseases",2014,39.1
Causes of mortality,I,KOR,Korea,Deaths per 100 000 inhabitants,Male,"Endocrine, nutritional and metabolic diseases",2013,41.7
Causes of mortality,I,KOR,Korea,Deaths per 100 000 inhabitants,Male,"Endocrine, nutritional and metabolic diseases",2012,47.7
Causes of mortality,I,KOR,Korea,Deaths per 100 000 inhabitants,Male,"Endocrine, nutritional and metabolic diseases",2011,46.6
Causes of mortality,I,KOR,Korea,Deaths per 100 000 inhabitants,Male,"Endocrine, nutritional and metabolic diseases",2010,45.4
Causes of mortality,I,KOR,Korea,Deaths per 100 000 inhabitants,Male,"Endocrine, nutritional and metabolic diseases",2009,43.9
