STRUCTURE_NAME,REF_AREA,Reference area,Measure,Age,Sex,Unit of measure,Measurement method,TIME_PERIOD,OBS_VALUE
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2013,62.1
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,61.7
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,62.9
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,61.4
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,64.3
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,63.3
Body weight,GBR,United Kingdom,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,64.2
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,45.1
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,49.1
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,52
Body weight,CRI,Costa Rica,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,36.8
Body weight,CRI,Costa Rica,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,39.5
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,28.2
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,28.5
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,28.7
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,28.8
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,29.6
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,30.2
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,30.2
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,31
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,31.6
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,32.6
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,33.6
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,33.5
Body weight,PRT,Portugal,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,28.7
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2010,30.2
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2011,30.7
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2012,31.8
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2013,31.5
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,30.8
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,33.4
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,34.5
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,33.7
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,34.3
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,33.7
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2020,37.8
Body weight,KOR,Korea,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2021,36.7
Body weight,GRC,Greece,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,39.2
Body weight,GRC,Greece,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,40.8
Body weight,CHL,Chile,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,48.3
Body weight,CHL,Chile,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,67.7
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,34
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,31.4
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,34.6
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2020,34.9
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2022,36.1
Body weight,COL,Colombia,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,16.5
Body weight,COL,Colombia,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,18.7
Body weight,LTU,Lithuania,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,16.6
Body weight,LTU,Lithuania,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,17.4
Body weight,LTU,Lithuania,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,18.3
Body weight,LTU,Lithuania,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,20.3
Body weight,ISL,Iceland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,37.5
Body weight,ISL,Iceland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,41.1
Body weight,ISL,Iceland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,37.2
Body weight,ISL,Iceland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,37.2
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2011,55.4
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,64.4
Body weight,ROU,Romania,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,63
Body weight,ROU,Romania,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,66.9
Body weight,POL,Poland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,36.6
Body weight,POL,Poland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,39.1
Body weight,POL,Poland,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,38.1
Body weight,HUN,Hungary,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,30
Body weight,HUN,Hungary,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,33.2
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,16.9
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,17.2
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,19.9
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,19.6
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,21.1
Body weight,TUR,Türkiye,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,20.2
Body weight,PRT,Portugal,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,52.8
Body weight,PRT,Portugal,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,53.5
Body weight,PRT,Portugal,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,53.2
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,54.6
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,54.6
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2018,58.7
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2020,58.8
Body weight,LVA,Latvia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2022,59.4
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,36.1
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,35.3
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,38.2
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,40
Body weight,USA,United States,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,42.8
Body weight,DEU,Germany,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,15.7
Body weight,DEU,Germany,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,16.3
Body weight,DEU,Germany,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,16.7
Body weight,CZE,Czechia,Share of population who are overweight,Total,Total,Percentage of population,Measured,2010,34
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,20.6
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,21.2
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,21.9
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,21.9
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,22.4
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,23.3
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,24.1
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,24.3
Body weight,KOR,Korea,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,26.3
Body weight,FRA,France,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,42.9
Body weight,FRA,France,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,44.4
Body weight,FRA,France,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,46.1
Body weight,FRA,France,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,46.1
Body weight,FRA,France,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,45.3
Body weight,SVK,Slovak Republic,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,54.2
Body weight,SVK,Slovak Republic,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,57.7
Body weight,IRL,Ireland,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,37
Body weight,IRL,Ireland,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,39
Body weight,IRL,Ireland,Share of population who are overweight,Total,Total,Percentage of population,Measured,2019,37
Body weight,LUX,Luxembourg,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,15.6
Body weight,LUX,Luxembourg,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,16
Body weight,LUX,Luxembourg,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,16.5
Body weight,NOR,Norway,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,10
Body weight,NOR,Norway,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,12
Body weight,NOR,Norway,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,13
Body weight,NOR,Norway,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,16
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,3.5
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,4.1
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,3.6
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,3.7
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,3.9
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,3.7
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,4.2
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,4.4
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2018,4
Body weight,JPN,Japan,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,4.6
Body weight,CZE,Czechia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,55.4
Body weight,CZE,Czechia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,58.4
Body weight,CHE,Switzerland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,41
Body weight,CHE,Switzerland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,41.8
Body weight,CHE,Switzerland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,42.9
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Measured,2011,33.1
Body weight,TUR,Türkiye,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,35.6
Body weight,AUS,Australia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,19.5
Body weight,AUS,Australia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,25.4
Body weight,CHL,Chile,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,10.1
Body weight,CHL,Chile,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,26.4
Body weight,ISL,Iceland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,58.5
Body weight,ISL,Iceland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,63.3
Body weight,ISL,Iceland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,55.3
Body weight,ISL,Iceland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,58.5
Body weight,DEU,Germany,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,36.4
Body weight,CZE,Czechia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2010,55
Body weight,AUS,Australia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,28.1
Body weight,AUS,Australia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2022,33.1
Body weight,SVN,Slovenia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,19.2
Body weight,SVN,Slovenia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,19.4
Body weight,AUS,Australia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2011,63.4
Body weight,AUS,Australia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2014,63.4
Body weight,AUS,Australia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,65.2
Body weight,AUS,Australia,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2022,64
Body weight,AUT,Austria,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,32.4
Body weight,AUT,Austria,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,35
Body weight,AUT,Austria,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,34.5
Body weight,IRL,Ireland,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,23
Body weight,IRL,Ireland,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,23
Body weight,IRL,Ireland,Share of population who are obese,Total,Total,Percentage of population,Measured,2019,23
Body weight,DNK,Denmark,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,13.4
Body weight,DNK,Denmark,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,14.2
Body weight,DNK,Denmark,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,14.9
Body weight,DNK,Denmark,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,16.8
Body weight,DNK,Denmark,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,18.5
Body weight,AUS,Australia,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,28.3
Body weight,AUS,Australia,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,27.9
Body weight,AUS,Australia,Share of population who are obese,Total,Total,Percentage of population,Measured,2017,30.4
Body weight,AUS,Australia,Share of population who are obese,Total,Total,Percentage of population,Measured,2022,30.7
Body weight,SVK,Slovak Republic,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,16.3
Body weight,SVK,Slovak Republic,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,19.4
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,46.4
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,46.3
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,47.1
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,46.9
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,46.5
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,48.3
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,48.8
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,48.2
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,49.9
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,49.1
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,50
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,51.4
Body weight,SWE,Sweden,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,52.1
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,63.2
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,63.3
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,63.6
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,63.3
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,64.4
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,64
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,65.3
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,65.7
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,66.2
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,66.6
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,67.5
Body weight,USA,United States,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,67.5
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Measured,2010,23.8
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Measured,2011,24.4
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Measured,2012,24.9
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Measured,2013,25.4
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Measured,2014,26
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Measured,2015,26.5
Body weight,HRV,Croatia,Share of population who are obese,Total,Total,Percentage of population,Measured,2016,27.1
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2010,17.5
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2011,17.7
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2012,17.7
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2013,18.2
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,19.6
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2015,19.2
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2016,19.7
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2017,19.8
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2018,19.7
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,20.4
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2020,21
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2021,21.6
Body weight,CAN,Canada,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2022,22.4
Body weight,CZE,Czechia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,18.7
Body weight,CZE,Czechia,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2019,19.3
Body weight,LUX,Luxembourg,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,32.4
Body weight,LUX,Luxembourg,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,33.3
Body weight,LUX,Luxembourg,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,31.9
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,49.7
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2011,50.8
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,49.4
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,49.9
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,52.1
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2015,56
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,56
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,57
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2018,55
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,57
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2020,60
Body weight,FIN,Finland,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,61
Body weight,HUN,Hungary,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,54.5
Body weight,HUN,Hungary,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,58.2
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2010,49.9
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2012,52
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,53.6
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2016,53.9
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2019,56.1
Body weight,TUR,Türkiye,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2022,55.8
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2010,36.7
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2011,36.9
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,37.1
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2013,37.2
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,36.2
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2015,36.1
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,35.2
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2017,35.6
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,35.5
Body weight,GBR,United Kingdom,Share of population who are overweight,Total,Total,Percentage of population,Measured,2019,36.2
Body weight,ZAF,South Africa,Share of population who are obese,Total,Total,Percentage of population,Self-reporting,2014,26.5
Body weight,IDN,Indonesia,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2014,25
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Measured,2010,32.7
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Measured,2012,33.3
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Measured,2014,31.9
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Measured,2016,31
Body weight,USA,United States,Share of population who are overweight,Total,Total,Percentage of population,Measured,2018,30.3
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2011,60.4
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2013,62
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2015,64.2
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2017,60.4
Body weight,CAN,Canada,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2019,59.8
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,33.1
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2011,32.8
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,33.6
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2013,33.2
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,34.6
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2015,35
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2016,34.9
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,35.1
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2018,35.9
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2019,35.1
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2020,35.9
Body weight,BRA,Brazil,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2021,34.9
Body weight,DEU,Germany,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2013,52.4
Body weight,DEU,Germany,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2017,52.7
Body weight,DEU,Germany,Share of population who are overweight or obese,Total,Total,Percentage of population,Self-reporting,2021,52.7
Body weight,CHL,Chile,Share of population who are overweight or obese,Total,Total,Percentage of population,Measured,2016,74.2
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2010,29.6
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2012,31.6
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2014,33.2
Body weight,LVA,Latvia,Share of population who are overweight,Total,Total,Percentage of population,Self-reporting,2017,35.4
